Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
The Pursuit of Happyness,2006-12-14,en,117.0,307077295,55000000,Drama,2006,12,14,8.0,PG-13,252077295
Flightplan,2005-09-22,en,98.0,223387299,55000000,Thriller,2005,9,22,6.3,PG-13,168387299
Disclosure,1994-12-09,en,123.0,214015089,55000000,Drama,1994,12,9,6.1,R,159015089
City of Angels,1998-04-10,en,114.0,198685114,55000000,Drama,1998,4,10,6.7,PG-13,143685114
Kill Bill: Vol. 1,2003-10-10,en,111.0,180949000,30000000,Action,2003,10,10,8.1,R,150949000
Kill Bill: Vol. 2,2004-04-16,en,136.0,152159461,30000000,Action,2004,4,16,8.0,R,122159461
Tango & Cash,1989-12-22,en,104.0,63408614,55000000,Action,1989,12,22,7.1,PG-13,8408614
Death Becomes Her,1992-07-30,en,104.0,149022650,55000000,Fantasy,1992,7,30,6.6,PG-13,94022650
Shanghai Noon,2000-05-26,en,110.0,56932305,55000000,Adventure,2000,5,26,6.6,PG-13,1932305
Executive Decision,1996-03-15,en,133.0,121969216,55000000,Action,1996,3,15,6.4,R,66969216
Mr. Popper's Penguins,2011-06-17,en,94.0,187361754,55000000,Comedy,2011,6,17,6.0,PG,132361754
The Forbidden Kingdom,2008-04-18,en,104.0,127906624,55000000,Action,2008,4,18,6.6,PG-13,72906624
Free Birds,2013-10-30,en,91.0,110000000,55000000,Animation,2013,10,30,5.9,PG,55000000
Alien³,1992-05-22,en,114.0,159773545,50000000,Science,1992,5,22,8.4,R,109773545
Evita,1996-12-14,en,134.0,141047179,55000000,History,1996,12,14,6.3,PG,86047179
Ronin,1998-09-25,en,122.0,41610884,55000000,Action,1998,9,25,7.3,R,-13389116
The Ghost and the Darkness,1996-10-11,en,109.0,75000000,50000000,Adventure,1996,10,11,6.8,R,25000000
Paddington,2014-11-27,en,95.0,259207227,55000000,Family,2014,11,27,7.2,PG,204207227
The Watch,2012-07-26,en,98.0,68267862,68000000,Comedy,2012,7,26,5.7,R,267862
The Hunted,2003-03-11,en,94.0,34234008,55000000,Drama,2003,3,11,6.1,R,-20765992
Stuck on You,2003-12-10,en,118.0,33828318,55000000,Comedy,2003,12,10,5.7,PG-13,-21171682
The Pirates! In an Adventure with Scientists!,2012-03-12,en,88.0,118338361,60000000,Animation,2012,3,12,No Rating,No Rating,58338361
Changeling,2008-01-30,en,141.0,113020255,55000000,Crime,2008,1,30,7.7,R,58020255
Chain Reaction,1996-08-02,en,107.0,60209334,50000000,Action,1996,8,2,5.7,PG-13,10209334
The Fan,1996-08-15,en,116.0,18626419,55000000,Drama,1996,8,15,5.9,R,-36373581
The Phantom of the Opera,2004-12-08,en,143.0,154648887,70000000,Thriller,2004,12,8,7.3,PG-13,84648887
Elizabeth: The Golden Age,2007-09-09,en,114.0,74237563,55000000,Drama,2007,9,9,6.8,PG-13,19237563
Æon Flux,2005-11-30,en,93.0,52304001,62000000,Action,2005,11,30,5.5,PG-13,-9695999
Gods and Generals,2003-02-21,en,214.0,12923936,56000000,Drama,2003,2,21,6.4,PG-13,-43076064
Turbulence,1997-01-09,en,100.0,11466088,55000000,Action,1997,1,9,4.9,R,-43533912
Muppets Most Wanted,2014-03-20,en,112.0,80383290,50000000,Comedy,2014,3,20,6.4,PG,30383290
Thunderbirds,2004-07-23,en,95.0,28283637,57000000,Action,2004,7,23,4.2,PG,-28716363
Burlesque,2010-11-23,en,119.0,89519773,55000000,Drama,2010,11,23,6.4,PG-13,34519773
Lolita,1962-06-13,en,153.0,9250000,2000000,Drama,1962,6,13,7.6,Not Rated,7250000
D-Tox,2002-01-04,en,96.0,6416302,55000000,Action,2002,1,4,No Rating,No Rating,-48583698
Blade II,2002-03-22,en,117.0,155010032,54000000,Fantasy,2002,3,22,6.7,R,101010032
Seven Pounds,2008-12-18,en,123.0,168167691,55000000,Drama,2008,12,18,7.6,PG-13,113167691
Bullet to the Head,2013-01-31,en,92.0,9489829,55000000,Action,2013,1,31,5.7,R,-45510171
The Godfather: Part III,1990-12-24,en,162.0,136766062,54000000,Crime,1990,12,24,7.6,R,82766062
Elizabethtown,2005-10-06,en,123.0,52034889,57000000,Comedy,2005,10,6,6.4,PG-13,-4965111
"You, Me and Dupree",2006-07-14,en,108.0,130431368,54000000,Comedy,2006,7,14,5.6,PG-13,76431368
Superman II,1980-12-04,en,127.0,190458706,54000000,Action,1980,12,4,6.8,PG,136458706
Gigli,2003-08-01,en,121.0,7266209,54000000,Drama,2003,8,1,2.5,R,-46733791
All the King's Men,2006-09-10,en,125.0,9450897,55000000,Drama,2006,9,10,6.2,PG-13,-45549103
Shaft,2000-06-15,en,99.0,107196498,46000000,Action,2000,6,15,5.9,R,61196498
Anastasia,1997-11-20,en,94.0,139804348,53000000,Animation,1997,11,20,7.2,G,86804348
Moulin Rouge!,2001-03-09,en,127.0,179213434,52500000,Drama,2001,3,9,7.6,PG-13,126713434
Domestic Disturbance,2001-10-30,en,89.0,54249294,75000000,Mystery,2001,10,30,5.6,PG-13,-20750706
Black Mass,2015-09-04,en,122.0,98837872,53000000,Crime,2015,9,4,6.9,R,45837872
Flags of Our Fathers,2006-10-18,en,132.0,65900249,90000000,War,2006,10,18,7.1,R,-24099751
Law Abiding Citizen,2009-10-15,en,109.0,126690726,53000000,Drama,2009,10,15,7.4,R,73690726
Grindhouse,2007-04-06,en,191.0,25037897,67000000,Thriller,2007,4,6,7.5,R,-41962103
Catch Me If You Can,2002-12-25,en,141.0,352114312,52000000,Drama,2002,12,25,8.1,PG-13,300114312
Zero Dark Thirty,2012-12-19,en,157.0,132820716,40000000,Thriller,2012,12,19,7.4,R,92820716
The Break-Up,2006-06-01,en,106.0,204999686,52000000,Romance,2006,6,1,5.8,PG-13,152999686
Mamma Mia!,2008-07-03,en,108.0,609841637,52000000,Comedy,2008,7,3,6.4,PG-13,557841637
Valentine's Day,2010-02-10,en,125.0,216485654,52000000,Comedy,2010,2,10,5.7,PG-13,164485654
The Dukes of Hazzard,2005-08-05,en,104.0,110803676,50000000,Action,2005,8,5,5.1,PG-13,60803676
The Thin Red Line,1998-12-25,en,170.0,98126565,52000000,Drama,1998,12,25,7.6,R,46126565
The Change-Up,2011-08-05,en,112.0,75450437,52000000,Comedy,2011,8,5,6.3,R,23450437
Man on the Moon,1999-12-22,en,118.0,47434430,82000000,Comedy,1999,12,22,7.4,R,-34565570
Casino,1995-11-22,en,178.0,116112375,52000000,Drama,1995,11,22,8.2,R,64112375
From Paris with Love,2010-02-05,en,92.0,52826594,52000000,Action,2010,2,5,6.5,R,826594
"Me, Myself & Irene",2000-06-22,en,116.0,149270999,51000000,Comedy,2000,6,22,6.6,R,98270999
Barnyard,2006-08-04,en,90.0,72779000,51000000,Animation,2006,8,4,5.5,PG,21779000
The Twilight Saga: New Moon,2009-03-15,en,130.0,709827462,50000000,Adventure,2009,3,15,4.7,PG-13,659827462
Shrek,2001-05-16,en,90.0,484409218,60000000,Adventure,2001,5,16,7.8,PG,424409218
The Adjustment Bureau,2011-03-03,en,106.0,127869379,50200000,Science,2011,3,3,7.0,PG-13,77669379
Robin Hood: Prince of Thieves,1991-06-14,en,143.0,390493908,48000000,Adventure,1991,6,14,6.9,PG-13,342493908
Jerry Maguire,1996-12-06,en,139.0,273552592,50000000,Comedy,1996,12,6,7.3,R,223552592
Ted,2012-06-29,en,106.0,549368315,50000000,Comedy,2012,6,29,6.9,R,499368315
As Good as It Gets,1997-12-19,en,139.0,314178011,50000000,Comedy,1997,12,19,7.7,PG-13,264178011
Patch Adams,1998-12-25,en,115.0,202292902,50000000,Comedy,1998,12,25,6.8,PG-13,152292902
Anchorman 2: The Legend Continues,2013-12-18,en,119.0,173649015,50000000,Comedy,2013,12,18,6.3,PG-13,123649015
Mr. Deeds,2002-06-28,en,96.0,171269535,50000000,Comedy,2002,6,28,5.8,PG-13,121269535
Super 8,2011-06-08,en,112.0,260095987,50000000,Thriller,2011,6,8,7.0,PG-13,210095987
Erin Brockovich,2000-03-17,en,131.0,256271286,52000000,Drama,2000,3,17,7.3,R,204271286
How to Lose a Guy in 10 Days,2003-02-07,en,116.0,177371441,50000000,Comedy,2003,2,7,6.4,PG-13,127371441
22 Jump Street,2014-06-05,en,112.0,188441614,50000000,Crime,2014,6,5,7.0,R,138441614
Interview with the Vampire,1994-11-11,en,123.0,223664608,60000000,Horror,1994,11,11,7.6,R,163664608
Yes Man,2008-12-09,en,104.0,225990978,70000000,Comedy,2008,12,9,6.8,PG-13,155990978
Central Intelligence,2016-06-15,en,107.0,216972543,50000000,Action,2016,6,15,6.3,PG-13,166972543
Daddy's Home,2015-12-25,en,96.0,242786137,50000000,Comedy,2015,12,25,6.2,PG-13,192786137
Into the Woods,2014-12-25,en,125.0,212902372,50000000,Fantasy,2014,12,25,5.9,PG,162902372
Inside Man,2006-03-23,en,129.0,184376254,45000000,Crime,2006,3,23,7.6,R,139376254
Payback,1999-02-05,en,100.0,161626121,90000000,Drama,1999,2,5,7.1,R,71626121
Congo,1995-06-09,en,109.0,152022101,50000000,Action,1995,6,9,5.3,PG-13,102022101
We Bought a Zoo,2011-12-22,en,124.0,120081841,50000000,Drama,2011,12,22,7.1,PG,70081841
Knowing,2009-03-19,en,121.0,155446362,50000000,Action,2009,3,19,6.2,PG-13,105446362
Failure to Launch,2006-03-10,en,97.0,88715192,50000000,Comedy,2006,3,10,5.6,PG-13,38715192
The Ring Two,2005-03-17,en,110.0,161451538,50000000,Drama,2005,3,17,5.4,PG-13,111451538
"Crazy, Stupid, Love.",2011-07-29,en,118.0,142851197,50000000,Comedy,2011,7,29,7.4,PG-13,92851197
Garfield,2004-06-10,en,80.0,200804534,50000000,Animation,2004,6,10,5.0,PG,150804534
Moneyball,2011-09-22,en,133.0,110206216,50000000,Drama,2011,9,22,7.6,PG-13,60206216
Outbreak,1995-03-10,en,127.0,189859560,50000000,Action,1995,3,10,6.6,R,139859560
Non-Stop,2014-01-26,en,106.0,222809600,50000000,Action,2014,1,26,6.9,PG-13,172809600
Race to Witch Mountain,2009-03-12,en,98.0,106303988,50000000,Adventure,2009,3,12,5.7,PG,56303988
V for Vendetta,2006-03-15,en,132.0,132511035,54000000,Action,2006,3,15,8.2,R,78511035
Shanghai Knights,2003-02-06,en,115.0,88323487,50000000,Action,2003,2,6,6.2,PG-13,38323487
Curious George,2006-02-10,en,86.0,69834815,50000000,Adventure,2006,2,10,6.5,G,19834815
Herbie Fully Loaded,2005-06-22,en,101.0,66002004,50000000,Comedy,2005,6,22,4.8,G,16002004
Don't Say a Word,2001-09-28,en,113.0,100020092,50000000,Thriller,2001,9,28,6.3,R,50020092
Hansel & Gretel: Witch Hunters,2013-01-17,en,88.0,224803475,50000000,Fantasy,2013,1,17,6.1,R,174803475
Unfaithful,2002-05-10,en,124.0,119137784,50000000,Thriller,2002,5,10,6.7,R,69137784
I Am Number Four,2011-02-18,en,109.0,144492830,50000000,Action,2011,2,18,6.1,PG-13,94492830
Syriana,2005-11-23,en,128.0,94000000,50000000,Drama,2005,11,23,6.9,R,44000000
13 Hours: The Secret Soldiers of Benghazi,2016-01-13,en,144.0,69411370,50000000,Action,2016,1,13,No Rating,No Rating,19411370
The Book of Life,2014-10-01,en,95.0,97437106,50000000,Romance,2014,10,1,7.3,PG,47437106
Firewall,2006-02-10,en,105.0,82800000,45000000,Thriller,2006,2,10,5.8,PG-13,37800000
Absolute Power,1997-02-14,en,121.0,50068310,50000000,Crime,1997,2,14,6.7,R,68310
G.I. Jane,1997-08-22,en,125.0,48169156,50000000,Action,1997,8,22,5.9,R,-1830844
The Game,1997-09-12,en,129.0,109423648,50000000,Drama,1997,9,12,7.8,R,59423648
Silent Hill,2006-04-21,en,125.0,97607453,50000000,Horror,2006,4,21,6.5,R,47607453
American Reunion,2012-04-04,en,113.0,234989584,50000000,Comedy,2012,4,4,6.7,R,184989584
The Negotiator,1998-07-29,en,140.0,44547681,50000000,Action,1998,7,29,7.3,R,-5452319
Into the Storm,2014-08-06,en,89.0,160602194,50000000,Action,2014,8,6,5.8,PG-13,110602194
Beverly Hills Cop III,1994-05-24,en,104.0,119208989,50000000,Action,1994,5,24,5.6,R,69208989
Gremlins 2: The New Batch,1990-06-15,en,106.0,41482207,50000000,Comedy,1990,6,15,6.4,PG-13,-8517793
The Judge,2014-10-08,en,141.0,83719388,50000000,Drama,2014,10,8,7.4,R,33719388
Resident Evil: Apocalypse,2004-09-10,en,94.0,129394835,45000000,Horror,2004,9,10,6.2,R,84394835
Bridget Jones: The Edge of Reason,2004-11-10,en,108.0,40203020,50000000,Comedy,2004,11,10,6.0,R,-9796980
Out of Time,2003-10-03,en,105.0,55495563,50000000,Thriller,2003,10,3,6.5,PG-13,5495563
On Deadly Ground,1994-02-18,en,102.0,49000000,50000000,Action,1994,2,18,4.6,R,-1000000
The Adventures of Sharkboy and Lavagirl,2005-06-10,en,92.0,69425966,50000000,Adventure,2005,6,10,3.5,PG,19425966
The Beach,2000-02-11,en,119.0,144056873,40000000,Drama,2000,2,11,6.7,R,104056873
Raising Helen,2004-05-27,en,119.0,49718611,50000000,Drama,2004,5,27,6.0,PG-13,-281389
Ninja Assassin,2009-09-29,en,99.0,60462347,40000000,Action,2009,9,29,6.3,R,20462347
Striptease,1996-06-28,en,115.0,113309743,50000000,Drama,1996,6,28,4.5,R,63309743
Marmaduke,2010-06-04,en,87.0,83761844,50000000,Family,2010,6,4,4.3,PG,33761844
Hereafter,2010-10-15,en,129.0,105197635,50000000,Drama,2010,10,15,6.4,PG-13,55197635
Murder by Numbers,2002-04-19,en,120.0,56714147,50000000,Crime,2002,4,19,6.2,R,6714147
Assassins,1995-10-06,en,132.0,30303072,50000000,Action,1995,10,6,6.3,R,-19696928
Hannibal Rising,2007-02-06,en,121.0,82169884,50000000,Crime,2007,2,6,6.2,R,32169884
The Story of Us,1999-10-13,en,95.0,58900031,50000000,Comedy,1999,10,13,6.0,R,8900031
The Host,2013-03-22,en,125.0,63327201,44000000,Action,2013,3,22,5.9,PG-13,19327201
Basic,2003-04-18,en,98.0,42792561,50000000,Action,2003,4,18,6.5,R,-7207439
Blood Work,2002-08-04,en,110.0,26199517,50000000,Crime,2002,8,4,6.4,R,-23800483
The International,2009-02-03,en,118.0,60161391,50000000,Drama,2009,2,3,6.5,R,10161391
Escape from L.A.,1996-08-09,en,97.0,42277365,50000000,Action,1996,8,9,5.8,R,-7722635
The Iron Giant,1999-08-06,en,86.0,23159305,70000000,Adventure,1999,8,6,8.0,PG,-46840695
The Life Aquatic with Steve Zissou,2004-12-10,en,119.0,34808403,50000000,Adventure,2004,12,10,7.3,R,-15191597
Free State of Jones,2016-06-24,en,139.0,25035950,50000000,War,2016,6,24,6.9,R,-24964050
The Life of David Gale,2003-02-21,en,130.0,38955598,50000000,Drama,2003,2,21,7.6,R,-11044402
Run All Night,2015-03-11,en,114.0,71561644,50000000,Action,2015,3,11,6.6,R,21561644
Eastern Promises,2007-09-14,en,100.0,55112356,51500000,Thriller,2007,9,14,7.6,R,3612356
Into the Blue,2005-09-30,en,110.0,44434439,50000000,Action,2005,9,30,5.9,PG-13,-5565561
Joan of Arc,1999-10-18,fr,148.0,66976317,60000000,Adventure,1999,10,18,6.6,Unrated,6976317
Your Highness,2011-04-08,en,102.0,26121638,49900000,Comedy,2011,4,8,5.5,R,-23778362
Dream House,2011-09-30,en,84.0,38502340,50000000,Drama,2011,9,30,6.0,PG-13,-11497660
Mad City,1997-11-07,en,114.0,10541523,50000000,Action,1997,11,7,6.3,PG-13,-39458477
Baby's Day Out,1994-07-01,en,99.0,16671505,50000000,Action,1994,7,1,6.1,PG,-33328495
The Scarlet Letter,1995-10-13,en,135.0,10382407,50000000,Drama,1995,10,13,5.3,R,-39617593
Fair Game,2010-05-20,en,108.0,24188922,22000000,Drama,2010,5,20,6.8,PG-13,2188922
Domino,2005-09-22,en,127.0,22944502,50000000,Action,2005,9,22,5.9,R,-27055498
Jade,1995-10-13,en,95.0,9851610,50000000,Action,1995,10,13,5.3,R,-40148390
Gamer,2009-09-03,en,95.0,40828540,50000000,Action,2009,9,3,5.8,R,-9171460
Beautiful Creatures,2013-02-13,en,124.0,60052138,60000000,Fantasy,2013,2,13,6.1,PG-13,52138
Zoolander 2,2016-02-06,en,100.0,55969000,50000000,Comedy,2016,2,6,4.7,PG-13,5969000
The Big Bounce,2004-01-30,en,88.0,6808550,50000000,Comedy,2004,1,30,4.9,PG-13,-43191450
Drive Angry,2011-02-24,en,105.0,28931401,50000000,Fantasy,2011,2,24,5.4,R,-21068599
Street Fighter: The Legend of Chun-Li,2009-02-27,en,97.0,12764201,50000000,Action,2009,2,27,3.7,PG-13,-37235799
The One,2001-11-02,en,87.0,72700000,49000000,Action,2001,11,2,5.9,PG-13,23700000
The Adventures of Ford Fairlane,1990-07-11,en,104.0,20423389,49000000,Action,1990,7,11,6.5,R,-28576611
The Boat That Rocked,2009-04-01,en,116.0,36348784,50000000,Drama,2009,4,1,No Rating,No Rating,-13651216
Traffic,2000-12-27,en,147.0,207515725,48000000,Thriller,2000,12,27,7.6,R,159515725
Indiana Jones and the Last Crusade,1989-05-24,en,127.0,474171806,48000000,Adventure,1989,5,24,8.2,PG-13,426171806
Chappie,2015-03-04,en,120.0,104399548,49000000,Crime,2015,3,4,6.8,R,55399548
The Bone Collector,1999-11-04,en,118.0,151493655,73000000,Drama,1999,11,4,6.7,R,78493655
Panic Room,2002-03-29,en,111.0,196397415,48000000,Crime,2002,3,29,6.8,R,148397415
Three Kings,1999-09-27,en,114.0,108000000,75000000,Action,1999,9,27,7.1,R,33000000
Child 44,2015-03-15,en,137.0,3324330,50000000,Crime,2015,3,15,6.5,R,-46675670
Rat Race,2001-07-30,en,112.0,85498534,48000000,Adventure,2001,7,30,6.4,PG-13,37498534
K-PAX,2001-10-22,en,120.0,50315140,48000000,Drama,2001,10,22,7.4,PG-13,2315140
Bedazzled,2000-10-19,en,93.0,90383208,48000000,Fantasy,2000,10,19,6.0,PG-13,42383208
The Cotton Club,1984-12-14,en,127.0,25928721,58000000,Music,1984,12,14,6.5,R,-32071279
3:10 to Yuma,2007-09-06,en,122.0,70016220,55000000,Western,2007,9,6,7.7,R,15016220
Taken 3,2014-12-16,en,109.0,325771424,48000000,Thriller,2014,12,16,6.0,PG-13,277771424
Out of Sight,1998-06-26,en,123.0,77745568,48000000,Romance,1998,6,26,7.0,R,29745568
The Cable Guy,1996-06-10,en,96.0,102825796,47000000,Comedy,1996,6,10,6.1,PG-13,55825796
Dick Tracy,1990-06-15,en,103.0,103738726,47000000,Adventure,1990,6,15,6.1,PG,56738726
The Thomas Crown Affair,1999-08-06,en,113.0,124305181,48000000,Drama,1999,8,6,6.8,R,76305181
Riding in Cars with Boys,2001-10-19,en,132.0,35743308,48000000,Comedy,2001,10,19,6.5,PG-13,-12256692
First Blood,1982-10-22,en,93.0,125212904,15000000,Action,1982,10,22,7.7,R,110212904
Happily N'Ever After,2006-09-14,en,75.0,38085778,47000000,Animation,2006,9,14,4.5,PG,-8914222
Mary Reilly,1996-02-23,en,104.0,12379402,47000000,Drama,1996,2,23,5.8,R,-34620598
My Best Friend's Wedding,1997-06-19,en,105.0,299288605,38000000,Comedy,1997,6,19,6.3,PG-13,261288605
Insomnia,2002-05-24,en,118.0,113714830,46000000,Crime,2002,5,24,7.2,R,67714830
Star Trek: First Contact,1996-11-21,en,111.0,150000000,46000000,Science,1996,11,21,7.6,PG-13,104000000
Jonah Hex,2010-06-18,en,80.0,10539000,47000000,Action,2010,6,18,4.7,PG-13,-36461000
Courage Under Fire,1996-07-04,en,117.0,100860818,46000000,Drama,1996,7,4,6.6,R,54860818
Liar Liar,1997-03-21,en,86.0,181000000,45000000,Comedy,1997,3,21,6.9,PG-13,136000000
The Infiltrator,2016-07-13,en,127.0,15436808,25000000,Crime,2016,7,13,7.0,R,-9563192
Inchon,1981-05-04,en,140.0,5200000,46000000,Drama,1981,5,4,2.5,PG,-40800000
The Flintstones,1994-05-26,en,91.0,341631208,46000000,Fantasy,1994,5,26,4.9,PG,295631208
Taken 2,2012-09-27,en,91.0,376141306,45000000,Action,2012,9,27,6.3,PG-13,331141306
Scary Movie 3,2003-10-24,en,84.0,220673217,48000000,Comedy,2003,10,24,5.5,PG-13,172673217
Miss Congeniality,2000-12-14,en,111.0,212000000,45000000,Comedy,2000,12,14,6.2,PG-13,167000000
Journey to the Center of the Earth,2008-07-10,en,93.0,101702060,45000000,Action,2008,7,10,5.8,PG,56702060
The Princess Diaries 2: Royal Engagement,2004-08-06,en,113.0,95149435,40000000,Comedy,2004,8,6,5.8,G,55149435
The Pelican Brief,1993-12-16,en,141.0,195268056,45000000,Drama,1993,12,16,6.6,PG-13,150268056
The Client,1994-07-20,en,119.0,117615211,45000000,Drama,1994,7,20,6.8,PG-13,72615211
The Bucket List,2007-12-25,en,97.0,175372502,45000000,Drama,2007,12,25,7.4,PG-13,130372502
Patriot Games,1992-06-04,en,117.0,178051587,45000000,Drama,1992,6,4,6.9,R,133051587
Monster-in-Law,2005-05-13,en,101.0,154749918,43000000,Romance,2005,5,13,5.6,PG-13,111749918
Prisoners,2013-09-18,en,153.0,122126687,46000000,Drama,2013,9,18,8.1,R,76126687
Training Day,2001-10-05,en,122.0,104876233,45000000,Action,2001,10,5,7.7,R,59876233
Galaxy Quest,1999-12-23,en,102.0,90683916,45000000,Comedy,1999,12,23,7.3,PG,45683916
Scary Movie 2,2001-07-04,en,83.0,141220678,45000000,Comedy,2001,7,4,5.3,R,96220678
The Muppets,2011-11-22,en,103.0,165184237,45000000,Comedy,2011,11,22,7.1,PG,120184237
Blade,1998-08-21,en,120.0,131183530,45000000,Horror,1998,8,21,7.1,R,86183530
Coach Carter,2005-01-14,en,136.0,76669806,30000000,Drama,2005,1,14,7.3,PG-13,46669806
Changing Lanes,2002-04-07,en,89.0,94935764,45000000,Action,2002,4,7,6.4,R,49935764
Anaconda,1997-04-11,en,89.0,136885767,45000000,Adventure,1997,4,11,4.8,PG-13,91885767
Coyote Ugly,2000-07-30,en,100.0,113916474,45000000,Comedy,2000,7,30,5.7,PG-13,68916474
Love Actually,2003-09-07,en,135.0,244931766,40000000,Comedy,2003,9,7,7.6,R,204931766
A Bug's Life,1998-11-25,en,95.0,363258859,120000000,Adventure,1998,11,25,7.2,G,243258859
From Hell,2001-10-19,en,122.0,74558115,35000000,Horror,2001,10,19,6.8,R,39558115
The Specialist,1994-10-07,en,110.0,170362582,45000000,Action,1994,10,7,5.6,R,125362582
Tin Cup,1996-08-16,en,135.0,53854588,45000000,Comedy,1996,8,16,6.4,R,8854588
Kicking & Screaming,2005-05-13,en,95.0,56070433,45000000,Romance,2005,5,13,5.6,PG,11070433
The Hitchhiker's Guide to the Galaxy,2005-01-15,en,109.0,104478416,50000000,Adventure,2005,1,15,6.8,PG,54478416
Resident Evil: Extinction,2007-09-20,en,94.0,148412065,45000000,Horror,2007,9,20,6.3,R,103412065
Blended,2014-05-21,en,117.0,123494610,40000000,Comedy,2014,5,21,6.5,PG-13,83494610
Last Holiday,2006-01-13,en,112.0,38399961,45000000,Adventure,2006,1,13,6.4,PG-13,-6600039
Savages,2012-07-06,en,131.0,82966152,45000000,Crime,2012,7,6,6.5,R,37966152
Cellular,2004-09-06,en,94.0,56422687,25000000,Action,2004,9,6,6.5,PG-13,31422687
Johnny English,2003-04-06,en,88.0,160583018,40000000,Adventure,2003,4,6,6.2,PG,120583018
The Ant Bully,2006-07-27,en,88.0,55181129,50000000,Fantasy,2006,7,27,5.8,PG,5181129
Dune,1984-12-14,en,137.0,30925690,40000000,Action,1984,12,14,6.5,PG-13,-9074310
Revolutionary Road,2008-12-19,en,119.0,75225693,35000000,Drama,2008,12,19,7.3,R,40225693
16 Blocks,2006-03-01,en,105.0,65664721,55000000,Action,2006,3,1,6.6,PG-13,10664721
Babylon A.D.,2008-08-20,en,101.0,72108608,70000000,Action,2008,8,20,5.6,PG-13,2108608
Aliens in the Attic,2009-07-31,en,86.0,57881056,45000000,Adventure,2009,7,31,5.4,PG,12881056
The Pledge,2001-01-09,en,123.0,29400000,35000000,Crime,2001,1,9,6.8,R,-5600000
The Producers,2005-12-25,en,134.0,38058335,45000000,Comedy,2005,12,25,7.6,PG,-6941665
The Phantom,1996-06-06,en,100.0,17300889,45000000,Adventure,1996,6,6,4.9,PG,-27699111
Nixon,1995-12-22,en,192.0,13681765,44000000,History,1995,12,22,7.1,R,-30318235
The Ghost Writer,2010-02-12,en,128.0,60222298,45000000,Thriller,2010,2,12,7.2,PG-13,15222298
Deep Rising,1998-01-30,en,106.0,11203026,45000000,Adventure,1998,1,30,6.1,R,-33796974
Miracle at St. Anna,2008-09-15,en,160.0,9323833,45000000,Drama,2008,9,15,6.1,R,-35676167
Bangkok Dangerous,2008-08-21,en,99.0,42487390,45000000,Action,2008,8,21,5.4,R,-2512610
Big Trouble,2002-04-05,en,85.0,8493890,40000000,Action,2002,4,5,6.5,PG-13,-31506110
Love in the Time of Cholera,2007-10-04,en,139.0,4607608,45000000,Drama,2007,10,4,6.4,R,-40392392
Shadow Conspiracy,1997-01-31,en,103.0,2154540,45000000,Action,1997,1,31,4.9,R,-42845460
Johnny English Reborn,2011-09-15,en,101.0,160078586,45000000,Crime,2011,9,15,6.3,PG,115078586
Argo,2012-10-11,en,120.0,232324128,44500000,Drama,2012,10,11,7.7,R,187824128
The Fugitive,1993-08-06,en,130.0,368875760,44000000,Adventure,1993,8,6,7.8,PG-13,324875760
The Bounty Hunter,2010-03-16,en,110.0,136000000,40000000,Action,2010,3,16,5.6,PG-13,96000000
Sleepers,1996-10-18,en,147.0,165615285,44000000,Crime,1996,10,18,7.6,R,121615285
Rambo: First Blood Part II,1985-05-21,en,96.0,300400432,44000000,Action,1985,5,21,6.5,R,256400432
Heaven's Gate,1980-11-19,en,219.0,3484331,44000000,Action,1980,11,19,6.8,R,81700000
Underworld: Evolution,2006-01-12,en,106.0,111340801,50000000,Fantasy,2006,1,12,6.7,R,-40515669
Victor Frankenstein,2015-11-10,en,109.0,34227298,40000000,Drama,2015,11,10,6.0,PG-13,61340801
Finding Forrester,2000-12-21,en,136.0,80049764,43000000,Drama,2000,12,21,7.3,PG-13,-5772702
Unleashed,2005-02-02,en,103.0,50871113,45000000,Action,2005,2,2,7.0,R,37049764
The Sweetest Thing,2002-04-12,en,84.0,68696770,43000000,Romance,2002,4,12,5.2,R,5871113
The Firm,1993-06-30,en,154.0,270248367,42000000,Drama,1993,6,30,6.8,R,25696770
Charlie St. Cloud,2010-05-01,en,99.0,48190704,44000000,Drama,2010,5,1,6.4,PG-13,228248367
The Mechanic,2011-01-13,en,93.0,51070807,40000000,Action,2011,1,13,6.6,R,4190704
21 Jump Street,2012-03-12,en,109.0,201585328,42000000,Action,2012,3,12,7.2,R,11070807
Notting Hill,1999-05-13,en,124.0,363889678,42000000,Romance,1999,5,13,7.1,PG-13,159585328
Chicken Run,2000-06-21,en,84.0,224834564,45000000,Animation,2000,6,21,7.0,G,321889678
Along Came Polly,2004-01-16,en,90.0,171963386,42000000,Comedy,2004,1,16,6.0,PG-13,179834564
Boomerang,1992-06-30,en,117.0,70100000,40000000,Comedy,1992,6,30,5.5,R,129963386
The Heat,2013-06-27,en,117.0,158674180,43000000,Action,2013,6,27,6.6,R,30100000
Cleopatra,1963-06-12,en,248.0,71000000,31115000,Drama,1963,6,12,7.0,G,115674180
High Crimes,2002-04-03,en,115.0,63781810,42000000,Drama,2002,4,3,6.4,PG-13,39885000
The Mothman Prophecies,2002-01-25,en,119.0,55157539,32000000,Drama,2002,1,25,6.4,PG-13,21781810
Licence to Kill,1989-07-07,en,133.0,156167015,32000000,Adventure,1989,7,7,6.6,PG-13,23157539
