Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Dave Chappelle's Block Party,2005-09-12,en,100.0,11718595,3000000,Comedy,2005,9,12,7.2,R,174512032
Elmer Gantry,1960-06-19,en,146.0,10400000,3000000,Drama,1960,6,19,7.8,Approved,31564473
Judgment at Nuremberg,1961-12-01,en,186.0,10000000,3000000,Drama,1961,12,1,8.2,Approved,26999213
Before Midnight,2013-04-05,en,108.0,11176469,3000000,Romance,2013,4,5,7.9,R,17966644
Phantasm II,1988-07-08,en,97.0,7282851,3000000,Action,1988,7,8,6.5,R,86328627
Woman Thou Art Loosed,2004-09-30,en,94.0,6804016,3000000,Drama,2004,9,30,6.6,R,74712439
East Is East,1999-05-14,en,97.0,28200000,3800000,Comedy,1999,5,14,6.9,R,16184015
Kama Sutra - A Tale of Love,1996-09-11,en,117.0,4109095,3000000,Drama,1996,9,11,6.0,R,14570324
Willy Wonka & the Chocolate Factory,1971-06-29,en,100.0,4000000,3000000,Family,1971,6,29,7.8,G,15999718
Jawbreaker,1999-01-30,en,87.0,3076820,3000000,Comedy,1999,1,30,5.7,R,20144499
Basquiat,1996-08-09,en,108.0,3011195,2962051,Drama,1996,8,9,6.9,R,52411275
Tsotsi,2005-08-18,af,94.0,9879971,3000000,Crime,2005,8,18,7.2,R,16472057
Happiness,1998-10-16,en,139.0,2807390,3000000,Comedy,1998,10,16,7.7,Unrated,30300000
Tusk,2014-09-19,en,102.0,1826705,2800000,Comedy,2014,9,19,5.3,R,12369573
올드보이,2003-01-01,ko,120.0,14980005,3000000,Drama,2003,1,1,No Rating,No Rating,5900000
Fish Tank,2009-05-14,en,123.0,2357852,3000000,Drama,2009,5,14,7.3,Not Rated,22000000
Bachelorette,2012-08-06,en,87.0,11947954,3000000,Comedy,2012,8,6,5.3,R,12938065
Demonic,2015-02-12,en,83.0,3387000,3000000,Thriller,2015,2,12,5.3,R,10000000
Point Blank,1967-08-30,en,92.0,3200000,2500000,Action,1967,8,30,7.3,Not Rated,8718595
